fid,start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,voltage,polarity,start_option,end_option,rid
37,6ALPHA GA_361502,8MAGNOL CC1_360613,34.813027,-84.853226,34.8287922,-89.20041124,500,ac,default,default,6ALPHA_GA_361502-8MAGNOL_CC1_360613
38,6ALPHA GA_361502,8MARSHALL KY_360015,34.813027,-84.853226,37.02455006,-88.39384277,500,ac,default,default,6ALPHA_GA_361502-8MARSHALL_KY_360015
39,6ALPHA GA_361502,8MAURY TN_360050,34.813027,-84.853226,35.672863,-87.01861625,500,ac,default,default,6ALPHA_GA_361502-8MAURY_TN_360050
40,6ALPHA GA_361502,8MONTGOMERY_360044,34.813027,-84.853226,36.59438524,-87.25325857,500,ac,default,default,6ALPHA_GA_361502-8MONTGOMERY_360044
41,6ALPHA GA_361502,8PARADIS CC5_360185,34.813027,-84.853226,37.25966758,-86.97670194,500,ac,default,default,6ALPHA_GA_361502-8PARADIS_CC5_360185
42,6ALPHA GA_361502,8PARADISE CC_360117,34.813027,-84.853226,37.259697,-86.976991,500,ac,default,default,6ALPHA_GA_361502-8PARADISE_CC_360117
43,6ALPHA GA_361502,8PHIPPS B NP_360102,34.813027,-84.853226,36.46070569,-82.80788409,500,ac,default,default,6ALPHA_GA_361502-8PHIPPS_B_NP_360102
44,6ALPHA GA_361502,8PIN HOOK TN_360581,34.813027,-84.853226,36.04646628,-86.60595108,500,ac,default,default,6ALPHA_GA_361502-8PIN_HOOK_TN_360581
45,6ALPHA GA_361502,8PLATEAU TN_360077,34.813027,-84.853226,36.05858036,-85.14194112,500,ac,default,default,6ALPHA_GA_361502-8PLATEAU_TN_360077
46,6ALPHA GA_361502,8RACCOON MTN_360079,34.813027,-84.853226,35.05681146,-85.38724619,500,ac,default,default,6ALPHA_GA_361502-8RACCOON_MTN_360079
47,6ALPHA GA_361502,8RUTHERFORD_360010,34.813027,-84.853226,35.82791498,-86.59841524,500,ac,default,default,6ALPHA_GA_361502-8RUTHERFORD_360010
48,6ALPHA GA_361502,8SEQUOYAH NP_360081,34.813027,-84.853226,35.22706031,-85.09419774,500,ac,default,default,6ALPHA_GA_361502-8SEQUOYAH_NP_360081
49,6ALPHA GA_361502,8SHAWNEE FP_360001,34.813027,-84.853226,37.150267,-88.778122,500,ac,default,default,6ALPHA_GA_361502-8SHAWNEE_FP_360001
50,6ALPHA GA_361502,8SHELBY TN_360021,34.813027,-84.853226,35.38606284,-89.80340294,500,ac,default,default,6ALPHA_GA_361502-8SHELBY_TN_360021
51,6ALPHA GA_361502,8TRICO STEEL_360014,34.813027,-84.853226,34.60872576,-87.05506218,500,ac,default,default,6ALPHA_GA_361502-8TRICO_STEEL_360014
52,6ALPHA GA_361502,8UNION MS_360033,34.813027,-84.853226,34.37783096,-88.85850114,500,ac,default,default,6ALPHA_GA_361502-8UNION_MS_360033
53,6ALPHA GA_361502,8VOLUNTEER_360097,34.813027,-84.853226,36.1219789,-83.81482256,500,ac,default,default,6ALPHA_GA_361502-8VOLUNTEER_360097
54,6ALPHA GA_361502,8WEST POINT_360035,34.813027,-84.853226,33.63551392,-88.65363834,500,ac,default,default,6ALPHA_GA_361502-8WEST_POINT_360035
55,6ALPHA GA_361502,8WID CRK FP_360065,34.813027,-84.853226,34.88726197,-85.75423778,500,ac,default,default,6ALPHA_GA_361502-8WID_CRK_FP_360065
56,6ALPHA GA_361502,8WILSON TN_360071,34.813027,-84.853226,36.2052377,-86.46506033,500,ac,default,default,6ALPHA_GA_361502-8WILSON_TN_360071
