start_BusName,end_BusName,length_km,voltage,cost,rid,n_cells,cells_outside_region,orig_cost_sum,adj_cost_sum,pct_increase,frac_none,frac_low,frac_medium,frac_high,added_cost,added_cost_pipeline_basis,adj_cost_pipeline_basis
6CENTER PNT_360533,6COUNTY LINE_360013,82.89083112443906,230,107809175.1072714,6CENTER_PNT_360533-6COUNTY_LINE_360013,811,0,191748288.15625,213701750.28125,11.449104623615082,0.0,0.9272503082614056,0.07274969173859433,0.0,21953462.125,12343185.25188789,120152360.35915929
6ALPHA GA_361502,6COUNTY LINE_360013,62.79369475732421,230,76840465.87495142,6ALPHA_GA_361502-6COUNTY_LINE_360013,579,0,130458622.421875,147369932.59375,12.962968532035756,0.0,0.8480138169257341,0.15198618307426598,0.0,16911310.171875,9960805.411239626,86801271.28619105
6CLOUDLANDGA_361633,6COUNTY LINE_360013,78.17994800689338,230,100032820.2484853,6CLOUDLANDGA_361633-6COUNTY_LINE_360013,757,0,176764596.25,191757816.8125,8.48202687674795,0.15323645970937913,0.8467635402906208,0.0,0.0,14993220.5625,8484810.699045489,108517630.94753079
6BATTLFLD GA_361530,6COUNTY LINE_360013,116.33903889279436,230,150725890.23314884,6BATTLFLD_GA_361530-6COUNTY_LINE_360013,1123,0,264804261.859375,292584480.9375,10.490850442912336,0.23063223508459482,0.6758682101513802,0.04630454140694568,0.04719501335707925,27780219.078125,15812427.723107858,166538317.9562567
6CONCORD TN_361509,6COUNTY LINE_360013,43.87386360737625,230,55105524.14113958,6CONCORD_TN_361509-6COUNTY_LINE_360013,416,0,95703870.796875,106132558.5625,10.896829646273321,0.0,0.9543269230769231,0.04567307692307692,0.0,10428687.765625,6004755.091346,61110279.232485585
6CENTER PNT_360533,6WID CRK FP_360068,137.35445445501392,230,167716362.66795582,6CENTER_PNT_360533-6WID_CRK_FP_360068,1301,0,292683922.625,322324779.453125,10.12725829361738,0.186010760953113,0.7163720215219063,0.09761721752498079,0.0,29640856.828125,16985069.248043958,184701431.91599977
6LOOPERS FRM_360602,6WID CRK FP_360068,144.1055518528077,230,176751780.05019403,6LOOPERS_FRM_360602-6WID_CRK_FP_360068,1364,0,307921697.546875,339086332.28125,10.120960939958046,0.1774193548387097,0.7294721407624634,0.09310850439882698,0.0,31164634.734375,17888978.619560696,194640758.6697547
6COUNTY LINE_360013,6WID CRK FP_360068,107.08073370113638,230,132582631.39150919,6COUNTY_LINE_360013-6WID_CRK_FP_360068,1028,0,233504125.671875,251836275.03125,7.850888846878767,0.2772373540856031,0.6945525291828794,0.02821011673151751,0.0,18332149.359375,10408915.020814383,142991546.41232356
6KENSNGTN GA_361503,6WID CRK FP_360068,61.39517528541813,230,77432746.12729567,6KENSNGTN_GA_361503-6WID_CRK_FP_360068,585,0,135243196.625,141254043.046875,4.444472307573277,0.5623931623931624,0.4376068376068376,0.0,0.0,6010846.421875,3441476.9586211755,80874223.08591685
6ALPHA GA_361502,6WID CRK FP_360068,156.01908432299044,230,189598158.65589795,6ALPHA_GA_361502-6WID_CRK_FP_360068,1503,0,336719217.0625,367645261.828125,9.184520276395357,0.2375249500998004,0.6846307385229541,0.07784431137724551,0.0,30926044.765625,17413681.325423185,207011839.98132113
