start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6KENSNGTN GA_361503,6YOUNG GA_361454,34.81265905,-85.32344844,34.75072952,-85.27349349,8.921,230,10776981.49344478,10776981.49344478,0.0,0.0
6ALPHA GA_361502,6YOUNG GA_361454,34.813027,-84.853226,34.75072952,-85.27349349,104.409,230,127365407.81144145,127727681.80339903,362273.9919575798,0.284
6CLOUDLANDGA_361633,6YOUNG GA_361454,34.81849122,-85.5353055,34.75072952,-85.27349349,27.897,230,35939130.49763468,35939130.49763468,0.0,0.0
6ROCK SPG GA_361500,6YOUNG GA_361454,34.83897801,-85.28020801,34.75072952,-85.27349349,10.661,230,12728584.828059405,12728584.828059405,0.0,0.0
6WID CRK FP_360068,6YOUNG GA_361454,34.88515896,-85.75604163,34.75072952,-85.27349349,61.047,230,77171201.65887958,77171201.65887958,0.0,0.0
6WRINGOLD GA_361504,6YOUNG GA_361454,34.89324284,-85.13750475,34.75072952,-85.27349349,63.777,230,78318264.95403785,78318264.95403785,0.0,0.0
6BATTLFLD GA_361530,6YOUNG GA_361454,34.9555953,-85.26465286,34.75072952,-85.27349349,66.056,230,86632200.48229823,88635114.74482185,2002914.262523621,2.312
6S HAVEN CC_360594,6YOUNG GA_361454,34.99627529,-90.0485284,34.75072952,-85.27349349,519.271,230,616887067.7062453,718781081.249774,101894013.54352863,16.517
6CONCORD TN_361509,6YOUNG GA_361454,34.99679719,-85.1610968,34.75072952,-85.27349349,85.489,230,105630466.07762961,105630466.07762961,0.0,0.0
6CENTER PNT_360533,6ROCK SPG GA_361500,34.6665318,-84.97089121,34.83897801,-85.28020801,95.356,230,121120943.92475398,121244037.02240886,123093.09765487624,0.102
6LOOPERS FRM_360602,6ROCK SPG GA_361500,34.708916,-84.922795,34.83897801,-85.28020801,102.107,230,130156361.3069922,130279956.06680065,123594.7598084445,0.095
6COUNTY LINE_360013,6ROCK SPG GA_361500,34.74311084,-85.00751569,34.83897801,-85.28020801,64.846,230,81541895.675506,81541895.675506,0.0,0.0
6KENSNGTN GA_361503,6ROCK SPG GA_361500,34.81265905,-85.32344844,34.83897801,-85.28020801,6.115,230,7720996.85919515,7720996.85919515,0.0,0.0
6ALPHA GA_361502,6ROCK SPG GA_361500,34.813027,-84.853226,34.83897801,-85.28020801,113.784,230,138557422.93989474,138914369.11330935,356946.1734146113,0.258
6CLOUDLANDGA_361633,6ROCK SPG GA_361500,34.81849122,-85.5353055,34.83897801,-85.28020801,32.231,230,40481017.54117789,40481017.54117789,0.0,0.0
6BATTLFLD GA_361530,6ROCK SPG GA_361500,34.9555953,-85.26465286,34.83897801,-85.28020801,70.39,230,91174087.52584143,93201787.42261863,2027699.896777197,2.224
6CONCORD TN_361509,6ROCK SPG GA_361500,34.99679719,-85.1610968,34.83897801,-85.28020801,94.865,230,116822481.20608291,116822481.20608291,0.0,0.0
6CENTER PNT_360533,6CLOUDLANDGA_361633,34.6665318,-84.97089121,34.81849122,-85.5353055,108.689,230,139611868.49773327,139735025.5261249,123157.02839161787,0.088
6ALPHA GA_361502,6CLOUDLANDGA_361633,34.813027,-84.853226,34.81849122,-85.5353055,127.118,230,157048347.51287404,157405256.35309404,356908.8402200139,0.227
6BATTLFLD GA_361530,6CLOUDLANDGA_361633,34.9555953,-85.26465286,34.81849122,-85.5353055,40.046,230,53391034.48107455,53778427.4816227,387393.0005481517,0.726
6CENTER PNT_360533,6CONCORD TN_361509,34.6665318,-84.97089121,34.99679719,-85.1610968,80.377,230,98680129.76076284,99049416.51270837,369286.7519455232,0.374
6ALPHA GA_361502,6CONCORD TN_361509,34.813027,-84.853226,34.99679719,-85.1610968,53.084,230,65130952.496869326,65504484.96617228,373532.4693029504,0.574
6CLOUDLANDGA_361633,6CONCORD TN_361509,34.81849122,-85.5353055,34.99679719,-85.1610968,108.198,230,135313405.7790622,135313405.7790622,0.0,0.0
6BATTLFLD GA_361530,6CONCORD TN_361509,34.9555953,-85.26465286,34.99679719,-85.1610968,146.358,230,186006475.76372576,187981566.26199344,1975090.498267669,1.062
6CENTER PNT_360533,6LOOPERS FRM_360602,34.6665318,-84.97089121,34.708916,-84.922795,9.104,230,12361159.351459209,12361159.351459209,0.0,0.0
6COUNTY LINE_360013,6LOOPERS FRM_360602,34.74311084,-85.00751569,34.708916,-84.922795,82.299,230,100325250.97961704,100697645.37150827,372394.39189122914,0.371
6KENSNGTN GA_361503,6LOOPERS FRM_360602,34.81265905,-85.32344844,34.708916,-84.922795,98.354,230,126317588.19851774,126440840.30587694,123252.10735920443,0.098
6ALPHA GA_361502,6LOOPERS FRM_360602,34.813027,-84.853226,34.708916,-84.922795,20.387,230,24584016.158693902,24584016.158693902,0.0,0.0
6CLOUDLANDGA_361633,6LOOPERS FRM_360602,34.81849122,-85.5353055,34.708916,-84.922795,115.441,230,148647285.8799715,148770878.48516005,123592.60518855588,0.083
6BATTLFLD GA_361530,6LOOPERS FRM_360602,34.9555953,-85.26465286,34.708916,-84.922795,153.6,230,199340355.86463505,201461892.6127315,2121536.748096424,1.064
6CONCORD TN_361509,6LOOPERS FRM_360602,34.99679719,-85.1610968,34.708916,-84.922795,72.589,230,88615737.60153496,88986920.88439392,371183.2828589518,0.419
6ALPHA GA_361502,6BATTLFLD GA_361530,34.813027,-84.853226,34.9555953,-85.26465286,146.512,230,200865249.65331694,201089504.72903222,224255.0757152692,0.112
6CENTER PNT_360533,6S HAVEN CC_360594,34.6665318,-84.97089121,34.99627529,-90.0485284,578.085,230,688095777.2618825,790286622.9465986,102190845.68471614,14.851
6LOOPERS FRM_360602,6S HAVEN CC_360594,34.708916,-84.922795,34.99627529,-90.0485284,584.836,230,697131194.6441207,799434895.7538226,102303701.10970184,14.675
6COUNTY LINE_360013,6S HAVEN CC_360594,34.74311084,-85.00751569,34.99627529,-90.0485284,553.116,230,659632308.8546627,761163381.3180183,101531072.46335568,15.392
6KENSNGTN GA_361503,6S HAVEN CC_360594,34.81265905,-85.32344844,34.99627529,-90.0485284,519.62,230,617148612.1762794,719198537.7337229,102049925.55744344,16.536
6ALPHA GA_361502,6S HAVEN CC_360594,34.813027,-84.853226,34.99627529,-90.0485284,603.907,230,719437829.9263601,821883857.6372617,102446027.71090159,14.24
6CLOUDLANDGA_361633,6S HAVEN CC_360594,34.81849122,-85.5353055,34.99627529,-90.0485284,499.693,230,592088864.3455495,693297152.8846669,101208288.53911746,17.093
6ROCK SPG GA_361500,6S HAVEN CC_360594,34.83897801,-85.28020801,34.99627529,-90.0485284,523.509,230,621530613.576247,723601486.4237772,102070872.84753025,16.423
6BATTLFLD GA_361530,6S HAVEN CC_360594,34.9555953,-85.26465286,34.99627529,-90.0485284,511.785,230,610595521.7539045,724718338.522654,114122816.76874962,18.69
6CONCORD TN_361509,6S HAVEN CC_360594,34.99679719,-85.1610968,34.99627529,-90.0485284,583.134,230,694912894.3852396,796163972.7105631,101251078.3253235,14.57
6CENTER PNT_360533,7SHAWNEE FP_360002,34.6665318,-84.97089121,37.150267,-88.778122,570.42,345,1095355640.9955368,1240147175.423489,144791534.4279524,13.219
6LOOPERS FRM_360602,7SHAWNEE FP_360002,34.708916,-84.922795,37.150267,-88.778122,577.171,345,1109817437.8273346,1254578895.5743306,144761457.74699593,13.044
6COUNTY LINE_360013,7SHAWNEE FP_360002,34.74311084,-85.00751569,37.150267,-88.778122,541.161,345,1039274338.9466575,1182411261.9893162,143136923.0426587,13.773
6YOUNG GA_361454,7SHAWNEE FP_360002,34.75072952,-85.27349349,37.150267,-88.778122,499.478,345,962768444.9978719,1105590693.1456044,142822248.1477324,14.835
6KENSNGTN GA_361503,7SHAWNEE FP_360002,34.81265905,-85.32344844,37.150267,-88.778122,499.774,345,963034138.1814778,1106113419.5203614,143079281.33888352,14.857
6ALPHA GA_361502,7SHAWNEE FP_360002,34.813027,-84.853226,37.150267,-88.778122,558.102,345,1075351697.3693104,1215768671.5570204,140416974.18770996,13.058
6CLOUDLANDGA_361633,7SHAWNEE FP_360002,34.81849122,-85.5353055,37.150267,-88.778122,473.468,345,909249010.6263747,1049935700.3368605,140686689.71048582,15.473
6ROCK SPG GA_361500,7SHAWNEE FP_360002,34.83897801,-85.28020801,37.150267,-88.778122,503.812,345,970290443.0728117,1113379756.6605704,143089313.58775875,14.747
6WID CRK FP_360068,7SHAWNEE FP_360002,34.88515896,-85.75604163,37.150267,-88.778122,439.888,345,839437296.3808048,980563339.9060311,141126043.52522635,16.812
6WRINGOLD GA_361504,7SHAWNEE FP_360002,34.89324284,-85.13750475,37.150267,-88.778122,549.392,345,1052652531.4848341,1194644059.032804,141991527.54796985,13.489
6BATTLFLD GA_361530,7SHAWNEE FP_360002,34.9555953,-85.26465286,37.150267,-88.778122,482.172,345,930329705.998009,1070179985.2450732,139850279.24706423,15.032
6S HAVEN CC_360594,7SHAWNEE FP_360002,34.99627529,-90.0485284,37.150267,-88.778122,324.405,345,610537336.9028168,896527640.8978784,285990303.99506164,46.842
6CONCORD TN_361509,7SHAWNEE FP_360002,34.99679719,-85.1610968,37.150267,-88.778122,563.732,345,1087110966.459806,1227769108.6715865,140658142.21178067,12.939
8CHOCTAW MS_360654,8DAVIDSON TN_360048,33.2984397,-89.4127739,36.06703747,-86.9841046,418.796,500,1015865242.668355,1191598878.6895893,175733636.02123436,17.299
8ACKERMAN CC_360627,8DAVIDSON TN_360048,33.38593855,-89.20997726,36.06703747,-86.9841046,399.992,500,966709897.1056943,1092318297.3175635,125608400.21186912,12.993
8CLAY_360688,8DAVIDSON TN_360048,33.47863869,-88.74043971,36.06703747,-86.9841046,362.257,500,873356187.442822,976677211.2788191,103321023.8359971,11.83
8COGEN CALED_360606,8DAVIDSON TN_360048,33.64779158,-88.31593565,36.06703747,-86.9841046,324.436,500,781511930.8814071,857150878.500443,75638947.61903583,9.679
6CENTER PNT_360533,8DAVIDSON TN_360048,34.6665318,-84.97089121,36.06703747,-86.9841046,331.107,500,833371735.2335594,856673875.0410119,23302139.80745253,2.796
8BR FERRY NP_360052,8DAVIDSON TN_360048,34.70520875,-87.11705751,36.06703747,-86.9841046,169.22,500,415033001.81862473,440172468.4472623,25139466.628637567,6.057
