start_BusName,end_BusName,length_km,voltage,cost,rid,n_cells,cells_outside_region,orig_cost_sum,adj_cost_sum,pct_increase,frac_none,frac_low,frac_medium,frac_high,added_cost,added_cost_pipeline_basis,adj_cost_pipeline_basis
6CENTER PNT_360533,6COUNTY LINE_360013,82.89083112443906,230,107809175.1072714,6CENTER_PNT_360533-6COUNTY_LINE_360013,811,0,191748288.15625,191968769.875,0.1149849737225983,0.9889025893958077,0.011097410604192354,0.0,0.0,220481.71875,123964.35166764603,107933139.45893905
6ALPHA GA_361502,6COUNTY LINE_360013,62.79369475732421,230,76840465.87495142,6ALPHA_GA_361502-6COUNTY_LINE_360013,579,0,130458622.421875,131094905.625,0.4877279794258449,0.9499136442141624,0.05008635578583765,0.0,0.0,636283.203125,374772.45159330644,77215238.32654473
6CLOUDLANDGA_361633,6COUNTY LINE_360013,78.17994800689338,230,100032820.2484853,6CLOUDLANDGA_361633-6COUNTY_LINE_360013,757,0,176764596.25,176764596.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100032820.2484853
6BATTLFLD GA_361530,6COUNTY LINE_360013,116.33903889279436,230,150725890.23314884,6BATTLFLD_GA_361530-6COUNTY_LINE_360013,1123,0,264804261.859375,268342997.515625,1.3363590266267211,0.9528049866429208,0.024933214603739984,0.0,0.02226179875333927,3538735.65625,2014239.039594168,152740129.27274302
6CONCORD TN_361509,6COUNTY LINE_360013,43.87386360737625,230,55105524.14113958,6CONCORD_TN_361509-6COUNTY_LINE_360013,416,0,95703870.796875,95703870.796875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55105524.14113958
6CENTER PNT_360533,6WID CRK FP_360068,137.35445445501392,230,167716362.66795582,6CENTER_PNT_360533-6WID_CRK_FP_360068,1301,0,292683922.625,293540034.015625,0.2925037299441602,0.9707916986933128,0.029208301306687164,0.0,0.0,856111.390625,490576.61653044575,168206939.28448626
6LOOPERS FRM_360602,6WID CRK FP_360068,144.1055518528077,230,176751780.05019403,6LOOPERS_FRM_360602-6WID_CRK_FP_360068,1364,0,307921697.546875,308777808.9375,0.27802892665420575,0.9721407624633431,0.02785923753665689,0.0,0.0,856111.390625,491421.07691575703,177243201.1271098
6COUNTY LINE_360013,6WID CRK FP_360068,107.08073370113638,230,132582631.39150919,6COUNTY_LINE_360013-6WID_CRK_FP_360068,1028,0,233504125.671875,233504125.671875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,132582631.39150919
6KENSNGTN GA_361503,6WID CRK FP_360068,61.39517528541813,230,77432746.12729567,6KENSNGTN_GA_361503-6WID_CRK_FP_360068,585,0,135243196.625,135243196.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77432746.12729567
6ALPHA GA_361502,6WID CRK FP_360068,156.01908432299044,230,189598158.65589795,6ALPHA_GA_361502-6WID_CRK_FP_360068,1503,0,336719217.0625,337355500.265625,0.18896551514815396,0.980705256154358,0.01929474384564205,0.0,0.0,636283.203125,358275.13721553184,189956433.79311347
